D:/GIT/Code_Database/Multi_Python/stc_1000mb/stc_1000mb-0004-txstreamresults.csv for periodic results

================== Periodic Results: TxStreamResults Record #1
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults3,"",port3,"Port //2/3",0,0,0,0,0,0,0,
txstreamresults4,"",port4,"Port //2/4",0,0,0,0,0,0,0,
txstreamresults5,"",port5,"Port //2/5",0,0,0,0,0,0,0,
txstreamresults6,"",port6,"Port //2/6",3846,821,840976,3846,4553664,972387,3938304,

================== Periodic Results: TxStreamResults Record #2
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",19717,4032,4129712,19717,23344928,4774986,20190208,
txstreamresults2,"",port2,"Port //2/2",57631,57655,59038288,57631,68235104,68263024,59014144,
txstreamresults3,"",port3,"Port //2/3",20236,20252,20738384,20236,23959424,23978754,20721664,
txstreamresults4,"",port4,"Port //2/4",57533,57550,58931296,57533,68119072,68139311,58913792,
txstreamresults5,"",port5,"Port //2/5",51897,51904,53150160,51897,61446048,61454868,53142528,
txstreamresults6,"",port6,"Port //2/6",88281,84460,86486592,88281,104524704,100000124,90399744,

================== Periodic Results: TxStreamResults Record #3
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",104177,84459,86486432,104177,123345568,99999934,106677248,
txstreamresults2,"",port2,"Port //2/2",142089,71058,72762832,142089,168233376,84132027,145499136,
txstreamresults3,"",port3,"Port //2/3",104741,52356,53612504,104741,124013344,61989451,107254784,
txstreamresults4,"",port4,"Port //2/4",141992,71005,72708912,141992,168118528,84069673,145399808,
txstreamresults5,"",port5,"Port //2/5",136356,68182,69818240,136356,161445504,80727334,139628544,
txstreamresults6,"",port6,"Port //2/6",172751,84460,86486288,172751,204537184,99999768,176897024,

================== Periodic Results: TxStreamResults Record #4
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",188637,84459,86486432,188637,223346208,99999935,193164288,
txstreamresults2,"",port2,"Port //2/2",226551,75525,77337208,226551,268236384,89421149,231988224,
txstreamresults3,"",port3,"Port //2/3",189201,63057,64570568,189201,224013984,74659720,193741824,
txstreamresults4,"",port4,"Port //2/4",226452,75489,77301336,226452,268119168,89379669,231886848,
txstreamresults5,"",port5,"Port //2/5",220816,73608,75374392,220816,261446144,87151639,226115584,
txstreamresults6,"",port6,"Port //2/6",257199,84459,86486352,257199,304523616,99999849,263371776,

================== Periodic Results: TxStreamResults Record #5
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",273096,84459,86486376,273096,323345664,99999875,279650304,
txstreamresults2,"",port2,"Port //2/2",311008,77759,79624616,311008,368233472,92065965,318472192,
txstreamresults3,"",port3,"Port //2/3",273662,68408,70049536,273662,324015808,80994774,280229888,
txstreamresults4,"",port4,"Port //2/4",310914,77732,79597648,310914,368122176,92034783,318375936,
txstreamresults5,"",port5,"Port //2/5",305275,76321,78152376,305275,361445600,90363684,312601600,
txstreamresults6,"",port6,"Port //2/6",341670,84459,86486368,341670,404537280,99999867,349870080,

================== Periodic Results: TxStreamResults Record #6
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",357556,84459,86486488,357556,423346304,100000000,366137344,
txstreamresults2,"",port2,"Port //2/2",395474,79099,80996872,395474,468241216,93652636,404965376,
txstreamresults3,"",port3,"Port //2/3",358121,71618,73336840,358121,424015264,84795718,366715904,
txstreamresults4,"",port4,"Port //2/4",395365,79078,80975520,395365,468112160,93627947,404853760,
txstreamresults5,"",port5,"Port //2/5",389735,77948,79819224,389735,461446240,92290981,399088640,
txstreamresults6,"",port6,"Port //2/6",426117,84459,86486408,426117,504522528,99999907,436343808,

================== Periodic Results: TxStreamResults Record #7
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",442015,84459,86486464,442015,523345760,99999972,452623360,
txstreamresults2,"",port2,"Port //2/2",479925,84460,86486520,479925,568231200,100000043,491443200,
txstreamresults3,"",port3,"Port //2/3",442580,84460,86486624,442580,524014720,100000159,453201920,
txstreamresults4,"",port4,"Port //2/4",479830,84459,86486536,479830,568118720,100000058,491345920,
txstreamresults5,"",port5,"Port //2/5",474195,84460,86486584,474195,561446880,100000111,485575680,
txstreamresults6,"",port6,"Port //2/6",510581,84459,86486496,510581,604527904,100000014,522834944,

================== Periodic Results: TxStreamResults Record #8
