D:/ETC/Reliability Test/source_code/stc_10mb/stc_10mb-0004-txstreamresults.csv for periodic results

================== Periodic Results: TxStreamResults Record #1
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",88,13,13904,88,104192,16082,90112,
txstreamresults2,"",port2,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults3,"",port3,"Port //2/3",0,0,0,0,0,0,0,
txstreamresults4,"",port4,"Port //2/4",0,0,0,0,0,0,0,
txstreamresults5,"",port5,"Port //2/5",48,7,7648,48,56832,8846,49152,
txstreamresults6,"",port6,"Port //2/6",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #2
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",933,845,865160,933,1104672,1000340,955392,
txstreamresults2,"",port2,"Port //2/2",463,463,474320,463,548192,548430,474112,
txstreamresults3,"",port3,"Port //2/3",315,315,322608,315,372960,373016,322560,
txstreamresults4,"",port4,"Port //2/4",679,679,695456,679,803936,804125,695296,
txstreamresults5,"",port5,"Port //2/5",889,845,864984,889,1052576,1000138,910336,
txstreamresults6,"",port6,"Port //2/6",417,417,427200,417,493728,493947,427008,

================== Periodic Results: TxStreamResults Record #3
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",1777,845,864680,1777,2103968,999780,1819648,
txstreamresults2,"",port2,"Port //2/2",1308,654,669808,1308,1548672,774458,1339392,
txstreamresults3,"",port3,"Port //2/3",1159,580,593432,1159,1372256,686153,1186816,
txstreamresults4,"",port4,"Port //2/4",1524,762,780416,1524,1804416,902354,1560576,
txstreamresults5,"",port5,"Port //2/5",1734,845,865104,1734,2053056,1000273,1775616,
txstreamresults6,"",port6,"Port //2/6",1261,631,645736,1261,1493024,746627,1291264,

================== Periodic Results: TxStreamResults Record #4
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",2622,845,864896,2622,3104448,1000038,2684928,
txstreamresults2,"",port2,"Port //2/2",2152,717,734616,2152,2547968,849399,2203648,
txstreamresults3,"",port3,"Port //2/3",2004,668,684040,2004,2372736,790926,2052096,
txstreamresults4,"",port4,"Port //2/4",2368,789,808352,2368,2803712,934659,2424832,
txstreamresults5,"",port5,"Port //2/5",2578,845,864840,2578,3052352,999968,2639872,
txstreamresults6,"",port6,"Port //2/6",2106,702,718912,2106,2493504,831238,2156544,

================== Periodic Results: TxStreamResults Record #5
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",3467,845,865008,3467,4104928,1000163,3550208,
txstreamresults2,"",port2,"Port //2/2",2997,749,767288,2997,3548448,887177,3068928,
txstreamresults3,"",port3,"Port //2/3",2848,712,729096,2848,3372032,843021,2916352,
txstreamresults4,"",port4,"Port //2/4",3213,803,822584,3213,3804192,951113,3290112,
txstreamresults5,"",port5,"Port //2/5",3422,845,864864,3422,4051648,1000001,3504128,
txstreamresults6,"",port6,"Port //2/6",2950,738,755240,2950,3492800,873242,3020800,

================== Periodic Results: TxStreamResults Record #6
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",4311,845,864848,4311,5104224,999978,4414464,
txstreamresults2,"",port2,"Port //2/2",3841,768,786680,3841,4547744,909595,3933184,
txstreamresults3,"",port3,"Port //2/3",3693,739,756336,3693,4372512,874511,3781632,
txstreamresults4,"",port4,"Port //2/4",4058,812,831120,4058,4804672,960984,4155392,
txstreamresults5,"",port5,"Port //2/5",4267,845,864808,4267,5052128,999938,4369408,
txstreamresults6,"",port6,"Port //2/6",3795,759,777256,3795,4493280,898705,3886080,

================== Periodic Results: TxStreamResults Record #7
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",5156,844,864744,5156,6104704,999863,5279744,
txstreamresults2,"",port2,"Port //2/2",4686,845,864872,4686,5548224,1000008,4798464,
txstreamresults3,"",port3,"Port //2/3",4538,845,864864,4538,5372992,1000005,4646912,
txstreamresults4,"",port4,"Port //2/4",4902,845,864880,4902,5803968,1000021,5019648,
txstreamresults5,"",port5,"Port //2/5",5112,845,864856,5112,6052608,999991,5234688,
txstreamresults6,"",port6,"Port //2/6",4640,845,864856,4640,5493760,999994,4751360,

================== Periodic Results: TxStreamResults Record #8
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/1",6000,845,864880,6000,7104000,1000020,6144000,
