ETC Registers

Sl.no,Register Address,Value
1,f000,0000
2,f001,0000
3,f002,0000
4,f003,0000
5,f004,0000
6,f005,0000
7,f006,0000
8,f007,0000
9,f008,0000
10,f009,0000
11,f00a,0000
12,f00b,0000
13,f00c,0000
14,f00d,0000
15,f00e,0000
16,f00f,0000
17,f010,0000
18,f011,0000
19,f012,0000
20,f013,0000
21,f014,0000
22,f015,0000
23,f016,0000
24,f017,0000
25,f018,0000
26,f019,0000
27,f01a,0000
28,f01b,0000
29,f01c,0000
30,f01d,0000
31,f01e,0000
32,f01f,0000
33,f020,0000
34,f021,0000
35,f022,0000
36,f023,0000
37,f024,0000
38,f025,0000
39,f026,0000
40,f027,0000
41,f028,0000
42,f029,0000
43,f02a,0000
44,f02b,0000
45,f02c,0000
46,f02d,0000
47,f02e,0000
48,f02f,0000
49,f030,0000
50,f031,0000
51,f032,0000
52,f033,0000
53,f034,0000
54,f035,0000
55,f036,0000
56,f037,0000
57,f038,0000
58,f039,0000
59,f03a,0000
60,f03b,0000
61,f03c,0000
62,f03d,0000
63,f03e,0000
64,f03f,0000
65,f040,0000
66,f041,0000
67,f042,0000
68,f043,0000
69,f044,0000
70,f045,0000
71,f046,0000
72,f047,0000
73,f048,0000
74,f049,0000
75,f04a,0000
76,f04b,0000
77,f04c,0000
78,f04d,0000
79,f04e,0000
80,f04f,0000
81,f050,0000
82,f051,0000
83,f052,0000
84,f053,0000
85,f054,0000
86,f055,0000
87,f056,0000
88,f057,0000
89,f058,0000
90,f059,0000
91,f05a,0000
92,f05b,0000
93,f05c,0000
94,f05d,0000
95,f05e,0000
96,f05f,0000
97,f060,0000
98,f061,0000
99,f062,0000
100,f063,0000
101,f064,0000
102,f065,0000
103,f066,0000
104,f067,0000
105,f068,0000
106,f069,0000
107,f06a,0000
108,f06b,0000
109,f06c,0000
110,f06d,0000
111,f06e,0000
112,f06f,0000
113,f070,0000
114,f071,0000
115,f072,0000
116,f073,0000
117,f074,0000
118,f075,0000
119,f076,0000
120,f077,0000
121,f078,0000
122,f079,0000
123,f07a,0000
124,f07b,0000
125,f07c,0000
126,f07d,0000
127,f07e,0000
128,f07f,0000
129,f080,0000
130,f081,0000
131,f082,0000
132,f083,0000
133,f084,0000
134,f085,0000
135,f086,0000
136,f087,0000
137,f088,0000
138,f089,0000
139,f08a,0000
140,f08b,0000
141,f08c,0000
142,f08d,0000
143,f08e,0000
144,f08f,0000
145,f090,0000
146,f091,0000
147,f092,0000
148,f093,0000
149,f094,0000
150,f095,0000
151,f096,0000
152,f097,0000
153,f098,0000
154,f099,0000
155,f09a,0000
156,f09b,0000
157,f09c,0000
158,f09d,0000
159,f09e,0000
160,f09f,0000
161,f0a0,0000
162,f0a1,0000
163,f0a2,0000
164,f0a3,0000
165,f0a4,0000
166,f0a5,0000
167,f0a6,0000
168,f0a7,0000
169,f0a8,0000
170,f0a9,0000
171,f0aa,0000
172,f0ab,0000
173,f0ac,0000
174,f0ad,0000
175,f0ae,0000
176,f0af,0000
177,f0b0,0000
178,f0b1,0000
179,f0b2,0000
180,f0b3,0000
181,f0b4,0000
182,f0b5,0000
183,f0b6,0000
184,f0b7,0000
185,f0b8,0000
186,f0b9,0000
187,f0ba,0000
188,f0bb,0000
189,f0bc,0000
190,f0bd,0000
191,f0be,0000
192,f0bf,0000
193,f0c0,0000
194,f0c1,0000
195,f0c2,0000
196,f0c3,0000
197,f0c4,0000
198,f0c5,0000
199,f0c6,0000
200,f0c7,0000
201,f0c8,0000
202,f0c9,0000
203,f0ca,0000
204,f0cb,0000
205,f0cc,0000
