ETC Registers

Sl.no,Register Address,Value
1,d000,0000
2,d001,00fb
3,d002,0000
4,d003,000f
5,d004,053a
6,d005,000f
7,d006,007f
8,d007,0800
9,d008,0254
10,d009,0009
11,d00a,03cf
12,d00b,0000
13,d00c,0000
14,d00d,0000
15,d00e,0000
16,d00f,0000
17,d010,0000
18,d011,0000
19,d012,0000
20,d013,0000
21,d014,0000
22,d015,0000
23,d016,0000
24,d017,0000
25,d018,0000
26,d019,0000
27,d01a,0000
28,d01b,0000
29,d01c,0000
30,d01d,0000
31,d01e,0000
32,d01f,0000
33,d020,0000
34,d021,0000
35,d022,0000
36,d023,0000
37,d024,0000
38,d025,0000
39,d026,0000
40,d027,0000
41,d028,0000
42,d029,0000
43,d02a,0000
44,d02b,0000
45,d02c,0000
46,d02d,0000
47,d02e,0000
48,d02f,0000
49,d030,0000
50,d031,0000
51,d032,0000
52,d033,0000
53,d034,0000
54,d035,0000
55,d036,0000
56,d037,0000
57,d038,0000
58,d039,0000
59,d03a,0000
60,d03b,0000
61,d03c,0000
62,d03d,0000
63,d03e,0000
64,d03f,0000
65,d040,0000
66,d041,0000
67,d042,0000
68,d043,0000
69,d044,0000
70,d045,0000
71,d046,0000
72,d047,0000
73,d048,0000
74,d049,0000
75,d04a,0000
76,d04b,0000
77,d04c,0000
78,d04d,0000
79,d04e,0000
80,d04f,0000
81,d050,0000
82,d051,0000
83,d052,0000
84,d053,0000
85,d054,0000
86,d055,0000
87,d056,0000
88,d057,0000
89,d058,0000
90,d059,0000
91,d05a,0000
92,d05b,0000
93,d05c,0000
94,d05d,0000
95,d05e,0000
96,d05f,0000
97,d060,0000
98,d061,0000
99,d062,0000
100,d063,0000
101,d064,0000
102,d065,0000
103,d066,0000
104,d067,0000
105,d068,0000
106,d069,0000
107,d06a,0000
108,d06b,0000
109,d06c,0000
110,d06d,0000
111,d06e,0000
112,d06f,0000
113,d070,0000
114,d071,0000
115,d072,0000
116,d073,0000
117,d074,0000
118,d075,0000
119,d076,0000
120,d077,0000
121,d078,0000
122,d079,0000
123,d07a,0000
124,d07b,0000
125,d07c,0000
126,d07d,0000
127,d07e,0000
128,d07f,0000
129,d080,0000
130,d081,0000
131,d082,0000
132,d083,0000
133,d084,0000
134,d085,0000
135,d086,0000
136,d087,0000
137,d088,0000
138,d089,0000
139,d08a,0000
140,d08b,0000
141,d08c,0000
142,d08d,0000
143,d08e,0000
144,d08f,0000
145,d090,0000
146,d091,0000
147,d092,0000
148,d093,0000
149,d094,0000
150,d095,0000
151,d096,0000
152,d097,0000
153,d098,0000
154,d099,0000
155,d09a,0000
156,d09b,0000
157,d09c,0000
158,d09d,0000
159,d09e,0000
160,d09f,0000
161,d0a0,0000
162,d0a1,0000
163,d0a2,0000
164,d0a3,0000
165,d0a4,0000
166,d0a5,0000
167,d0a6,0000
168,d0a7,0000
169,d0a8,0000
170,d0a9,0000
171,d0aa,0000
172,d0ab,0000
173,d0ac,0000
174,d0ad,0000
175,d0ae,0000
176,d0af,0000
177,d0b0,0000
178,d0b1,0000
179,d0b2,0000
180,d0b3,0000
181,d0b4,0000
182,d0b5,0000
183,d0b6,0000
184,d0b7,0000
185,d0b8,0000
186,d0b9,0000
187,d0ba,0000
188,d0bb,0000
189,d0bc,0000
190,d0bd,0000
191,d0be,0000
192,d0bf,0000
193,d0c0,0000
194,d0c1,0000
195,d0c2,0000
196,d0c3,0000
197,d0c4,0000
198,d0c5,0000
199,d0c6,0000
200,d0c7,0000
201,d0c8,0000
202,d0c9,0000
203,d0ca,0000
204,d0cb,0000
205,d0cc,0000
206,d0cd,0000
207,d0ce,0000
208,d0cf,0000
209,d0d0,0000
210,d0d1,0000
211,d0d2,0000
212,d0d3,0000
213,d0d4,0000
214,d0d5,0000
215,d0d6,0000
216,d0d7,0000
217,d0d8,0000
218,d0d9,0000
219,d0da,0000
220,d0db,0000
221,d0dc,0000
222,d0dd,0000
223,d0de,0000
224,d0df,0000
225,d0e0,0000
226,d0e1,0000
227,d0e2,0000
228,d0e3,0000
229,d0e4,0000
230,d0e5,0000
231,d0e6,0000
232,d0e7,0000
233,d0e8,0000
234,d0e9,0000
235,d0ea,0000
236,d0eb,0000
237,d0ec,0000
238,d0ed,0000
239,d0ee,0000
240,d0ef,0000
241,d0f0,0000
242,d0f1,0000
243,d0f2,0000
244,d0f3,0000
245,d0f4,0000
246,d0f5,0000
247,d0f6,0000
248,d0f7,0000
249,d0f8,0000
250,d0f9,0000
251,d0fa,0000
252,d0fb,0000
253,d0fc,0000
254,d0fd,0000
255,d0fe,0000
256,d0ff,0000
257,d100,0000
258,d101,0000
259,d102,1000
260,d103,0000
261,d104,0000
262,d105,0000
263,d106,0000
264,d107,0000
265,d108,0000
266,d109,0000
267,d10a,0000
268,d10b,0000
269,d10c,0000
270,d10d,0000
