ETC Registers

Sl.no,Register Address,Value
1,1000,0x0000
2,1001,0x0000
3,1002,0x0000
4,1003,0x0000
5,1004,0x0000
6,1005,0x0000
7,1006,0x0000
8,1007,0x0000
9,1008,0x00e0
10,1009,0x007f
11,100a,0x0000
12,100b,0x0018
13,100c,0x2f70
14,100d,0x0006
15,100e,0x0000
16,100f,0x0000
17,1010,0x0100
18,1011,0x009f
19,1012,0x5e9a
20,1013,0xc000
21,1014,0x0000
22,1015,0x0000
23,1016,0x0000
24,1017,0x0000
25,1018,0x0000
26,1019,0x0000
27,101a,0x0000
28,101b,0x000f
29,101c,0x0103
30,101d,0x8000
31,101e,0x0000
32,101f,0x0000
33,1020,0x0000
34,1021,0x0000
35,1022,0x0000
36,1023,0x0065
37,1024,0x0000
38,1025,0x0000
39,1026,0x0000
40,1027,0x0027
41,1028,0x0028
42,1029,0x0029
43,102a,0x002a
44,102b,0x0004
45,102c,0x0000
46,102d,0x0000
47,102e,0x0000
48,102f,0x0000
49,1100,0x0000
50,1101,0x0000
51,1102,0x0000
52,1103,0x0000
53,1104,0x0000
54,1105,0x0000
55,1106,0x0000
56,1107,0x0000
57,1108,0x0000
58,1109,0x0000
59,110a,0x0000
60,110b,0x0000
61,110c,0x0000
62,110d,0x0000
63,110e,0x0000
64,110f,0x0000
65,1110,0x0000
66,1111,0x0000
67,1112,0x0000
68,1113,0x0000
69,1114,0x0000
70,1115,0x0000
71,1116,0x0000
72,1117,0x0000
73,1118,0x0000
74,1119,0x0000
75,111a,0x0000
76,111b,0x0000
77,111c,0x0000
78,111d,0x0000
79,111e,0x0000
80,111f,0x0000
81,1120,0x0000
82,1121,0x0000
83,1122,0x0000
84,1123,0x0000
85,1124,0x0000
86,1125,0x0000
87,1126,0x0000
88,1127,0x0000
89,1128,0x0000
90,1129,0x0000
91,112a,0x0000
92,112b,0x0000
93,112c,0x0000
94,112d,0x0000
95,112e,0x0000
96,112f,0x0000
97,1200,0x0000
98,1201,0x0000
99,1202,0x0000
100,1203,0x0000
101,1204,0x0000
102,1205,0x0000
103,1206,0x0000
104,1207,0x0000
105,1208,0x0000
106,1209,0x0000
107,120a,0x0000
108,120b,0x0000
109,120c,0x0000
110,120d,0x0000
111,120e,0x0000
112,120f,0x0000
113,1210,0x0000
114,1211,0x0000
115,1212,0x0000
116,1213,0x0000
117,1214,0x0000
118,1215,0x0000
119,1216,0x0000
120,1217,0x0000
121,1218,0x0000
122,1219,0x0000
123,121a,0x0000
124,121b,0x0000
125,121c,0x0000
126,121d,0x0000
127,121e,0x0000
128,121f,0x0000
129,1220,0x0000
130,1221,0x0000
131,1222,0x0000
132,1223,0x0000
133,1224,0x0000
134,1225,0x0000
135,1226,0x0000
136,1227,0x0000
137,1228,0x0000
138,1229,0x0000
139,122a,0x0000
140,122b,0x0000
141,122c,0x0000
142,122d,0x0000
143,122e,0x0000
144,122f,0x0000
145,1200,0x0000
146,1201,0x0000
147,1202,0x0000
148,1203,0x0000
149,1204,0x0000
150,1205,0x0000
151,1206,0x0000
152,1207,0x0000
153,1208,0x0000
154,1209,0x0000
155,120a,0x0000
156,120b,0x0000
157,120c,0x0000
158,120d,0x0000
159,120e,0x0000
160,120f,0x0000
161,1210,0x0000
162,1211,0x0000
163,1212,0x0000
164,1213,0x0000
165,1214,0x0000
166,1215,0x0000
167,1216,0x0000
168,1217,0x0000
169,1218,0x0000
170,1219,0x0000
171,121a,0x0000
172,121b,0x0000
173,121c,0x0000
174,121d,0x0000
175,121e,0x0000
176,121f,0x0000
177,1220,0x0000
178,1221,0x0000
179,1222,0x0000
180,1223,0x0000
181,1224,0x0000
182,1225,0x0000
183,1226,0x0000
184,1227,0x0000
185,1228,0x0000
186,1229,0x0000
187,122a,0x0000
188,122b,0x0000
189,122c,0x0000
190,122d,0x0000
191,122e,0x0000
192,122f,0x0000
193,9000,0x0000
194,9001,0x0000
195,9002,0x0000
196,9003,0x0000
197,9004,0x0000
198,9005,0x0000
199,9006,0x0000
200,9007,0x0000
201,9008,0x00e0
202,9009,0x007f
203,900a,0x0000
204,900b,0x0018
205,900c,0x2f70
206,900d,0x0006
207,900e,0x0000
208,900f,0x0000
209,9010,0x0100
210,9011,0x009f
211,9012,0x5e9a
212,9013,0xc000
213,9014,0x0000
214,9015,0x0000
215,9016,0x0000
216,9017,0x0000
217,9018,0x0000
218,9019,0x0000
219,901a,0x0000
220,901b,0x000f
221,901c,0x0103
222,901d,0x8000
223,901e,0x0000
224,901f,0x0000
225,9020,0x0000
226,9021,0x0000
227,9022,0x0000
228,9023,0x005e
229,9024,0x0000
230,9025,0x0000
231,9026,0x0000
232,9027,0x0027
233,9028,0x0028
234,9029,0x0029
235,902a,0x002a
236,902b,0x0004
237,902c,0x0000
238,902d,0x0000
239,902e,0x0000
240,902f,0x0000
