Device Fuse Register Read,
Sl.no,REG ADDR,REG VAL
1,0xfa10,0x0713
2,0xfa11,0x0003
3,0xfa12,0x0000
4,0xfa13,0x0000
5,0xfa14,0x0000
6,0xfa15,0x0000
7,0xfa16,0x0000
8,0xfa17,0x0000
9,0xfa18,0x0000
10,0xfa19,0x0000
11,0xfa1a,0x0000
12,0xfa1b,0x0000
13,0xfa1c,0x0000
14,0xfa1d,0x0000
15,0xfa1e,0x0000
16,0xfa1f,0x0000
17,0xfa20,0x0000
18,0xfa21,0x0000
19,0xfa22,0x0000
20,0xfa23,0x0000
21,0xfa24,0x0000
22,0xfa25,0x0000
23,0xfa26,0x0000
24,0xfa27,0x0000
25,0xfa28,0x0000
26,0xfa29,0x0000
27,0xfa2a,0x0000
28,0xfa2b,0x0000
29,0xfa2c,0x0000
30,0xfa2d,0x0000
31,0xfa2e,0x0000
32,0xfa2f,0x0000
33,0xfa30,0x0000
34,0xfa31,0x0000
35,0xfa32,0x0000
36,0xfa33,0x0000
37,0xfa34,0x0000
38,0xfa35,0x0000
39,0xfa36,0x0000
40,0xfa37,0x0000
41,0xfa38,0x0000
42,0xfa39,0x0000
43,0xfa3a,0x0000
44,0xfa3b,0x0000
45,0xfa3c,0x0000
46,0xfa3d,0x0000
47,0xfa3e,0x0000
48,0xfa3f,0x0000
49,0xfa40,0x0000
50,0xfa41,0x0000
51,0xfa42,0x0000
52,0xfa43,0x0000
53,0xfa44,0x0000
54,0xfa45,0x0000
55,1F.70A,0x0000a
55,1F.70D,0x00000
55,1F.70F,0x00033
55,1F.710,0x00033
55,1F.d80,0x00000
55,1F.d81,0x0003f
55,1F.d82,0x00060
55,1F.d83,0x00060
55,1F.d84,0x0002f
55,1F.d85,0x00030
55,1F.d86,0x00000
55,1F.d87,0x00000
55,1F.d88,0x00000
55,1F.d89,0x00010
55,1F.d8a,0x000c0
55,1F.d8b,0x00061
55,1F.d8c,0x00011
55,1F.d8d,0x0007e
55,1F.d8e,0x000ff
55,1F.d8f,0x00004
55,1F.d90,0x00000
55,1F.d91,0x000df
55,1F.d92,0x00003
55,1F.d93,0x00009
55,1F.d94,0x00005
55,1F.d95,0x00003
55,1F.d96,0x000c0
55,1F.d97,0x00002
Test Condition,,Description,Power Measurement at Power on Condition

Register,Address,Value
Res_Req Reg,fa01,0x0020

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.78,1.112,85.8,77.99,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.33,1.112,147.4,132.99,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.46,3.28,141.68,46.0,ade8

Total Power,,,,648.88

Test Condition,,Description,Power Measurement - All Port Enabled

Register,Address,Value
