ETC Registers

Sl.no,Register Address,Value
1,fa00,0x8003
2,fa01,0x0030
3,fa02,0x0000
4,fa03,0x0000
5,fa04,0x0000
6,fa05,0x0000
7,fa06,0x0000
8,fa07,0x0000
9,fa08,0x0000
10,fa09,0x0000
11,fa0a,0x0000
12,fa0b,0x0000
13,fa0c,0x0000
14,fa0d,0x0000
15,fa0e,0x0000
16,fa0f,0x0000
17,fa10,0x0713
18,fa11,0x0003
19,fa12,0x0000
20,fa13,0x0000
21,fa14,0x0000
22,fa15,0x0000
23,fa16,0x0000
24,fa17,0x0000
25,fa18,0x0000
26,fa19,0x0000
27,fa1a,0x0000
28,fa1b,0x0000
29,fa1c,0x0000
30,fa1d,0x0000
31,fa1e,0x0000
32,fa1f,0x0000
33,fa20,0x0000
34,fa21,0x0000
35,fa22,0x0000
36,fa23,0x0000
37,fa24,0x0000
38,fa25,0x0000
39,fa26,0x0000
40,fa27,0x0000
41,fa28,0x0000
42,fa29,0x0000
43,fa2a,0x0000
44,fa2b,0x0000
45,fa2c,0x0000
46,fa2d,0x0000
47,fa2e,0x0000
48,fa2f,0x0000
49,fa30,0x0000
50,fa31,0x0000
51,fa32,0x0000
52,fa33,0x0000
53,fa34,0x0000
54,fa35,0x0000
55,fa36,0x0000
56,fa37,0x0000
57,fa38,0x0000
58,fa39,0x0000
59,fa3a,0x0000
60,fa3b,0x0000
61,fa3c,0x0000
62,fa3d,0x0000
63,fa3e,0x0000
64,fa3f,0x0000
65,fa40,0x0000
66,fa41,0x0000
67,fa42,0x0000
68,fa43,0x0000
69,fa44,0x0000
70,fa45,0x0000
71,fa46,0x0000
72,fa47,0x0000
73,fa48,0x0000
74,fa49,0x0000
75,fa4a,0x0000
76,fa4b,0x0000
77,fa4c,0x0000
78,fa4d,0x0000
79,fa4e,0x0000
80,fa4f,0x0000
81,fa50,0x0000
82,fa51,0x0000
83,fa52,0x0000
84,fa53,0x0000
85,fa54,0x0000
86,fa55,0x0000
87,fa56,0x0000
88,fa57,0x0000
89,fa58,0x0000
90,fa59,0x0000
91,fa5a,0x0000
92,fa5b,0x0000
93,fa5c,0x0000
94,fa5d,0x0000
95,fa5e,0x0000
96,fa5f,0x0000
97,fa60,0x0000
98,fa61,0x0000
99,fa62,0x0000
100,fa63,0x0000
101,fa64,0x0000
102,fa65,0x0000
103,fa66,0x0000
104,fa67,0x0000
105,fa68,0x0000
106,fa69,0x0000
107,fa6a,0x0000
108,fa6b,0x0000
109,fa6c,0x0000
110,fa6d,0x0000
111,fa6e,0x0000
112,fa6f,0x0000
113,fa70,0x3fff
114,fa71,0x0000
115,fa72,0x0000
116,fa73,0x0000
117,fa74,0x7fff
118,fa75,0x03ff
119,fa76,0x0000
120,fa77,0x0000
121,fa78,0x0500
122,fa79,0x0000
123,fa7a,0x0000
124,fa7b,0x0000
125,fa7c,0x0000
126,fa7d,0x0000
127,fa7e,0x0000
128,fa7f,0x0000
129,fa80,0x0ffc
130,fa81,0x7fff
131,fa82,0x0000
132,fa83,0x0000
133,fa84,0x0000
134,fa85,0x0000
135,fa86,0x0000
136,fa87,0x0000
137,fa88,0x0000
138,fa89,0x0000
139,fa8a,0x0000
140,fa8b,0x0000
141,fa8c,0x0000
142,fa8d,0x0000
143,fa8e,0x0000
144,fa8f,0x0000
145,fa90,0x00ff
146,fa91,0x0000
147,fa92,0x0000
148,fa93,0x0000
149,fa94,0x0000
150,fa95,0x0000
151,fa96,0x0000
152,fa97,0x0000
153,fa98,0x0000
154,fa99,0x0000
155,fa9a,0x0000
156,fa9b,0x0000
157,fa9c,0x0000
158,fa9d,0x0000
159,fa9e,0x0000
160,fa9f,0x0000
161,faa0,0x0000
162,faa1,0x0000
163,faa2,0x0000
164,faa3,0x0000
165,faa4,0x0000
166,faa5,0x0000
167,faa6,0x0000
168,faa7,0x0000
169,faa8,0x0000
170,faa9,0x0000
171,faaa,0x0000
172,faab,0x0000
173,faac,0x0000
174,faad,0x0000
175,faae,0x0000
176,faaf,0x0000
177,fab0,0x0000
178,fab1,0x0000
179,fab2,0x0000
180,fab3,0x0000
181,fab4,0x0000
182,fab5,0x0000
183,fab6,0x0000
184,fab7,0x0000
185,fab8,0x0000
186,fab9,0x0000
187,faba,0x0000
188,fabb,0x0000
189,fabc,0x0000
190,fabd,0x0000
191,fabe,0x0000
192,fabf,0x0000
193,fac0,0x0000
194,fac1,0x0000
195,fac2,0x0000
196,fac3,0x0000
197,fac4,0x0000
198,fac5,0x0000
199,fac6,0x0000
200,fac7,0x0000
201,fac8,0x0000
202,fac9,0x0000
203,faca,0x0000
204,facb,0x0000
205,facc,0x0000
206,facd,0x0000
207,face,0x0000
208,facf,0x0000
209,fad0,0x0000
210,fad1,0x0000
211,fad2,0x0000
212,fad3,0x0000
213,fad4,0x0000
214,fad5,0x0000
215,fad6,0x0000
216,fad7,0x0000
217,fad8,0x0000
218,fad9,0x0000
219,fada,0x0000
220,fadb,0x0000
221,fadc,0x0000
222,fadd,0x0000
223,fade,0x0000
224,fadf,0x0000
225,fae0,0x0000
226,fae1,0x0000
227,fae2,0x0000
228,fae3,0x0000
229,fae4,0x0003
230,fae5,0x0003
231,fae6,0x0003
232,fae7,0x0003
233,fae8,0x0003
234,fae9,0x0003
235,faea,0x0003
236,faeb,0x0003
237,faec,0x0000
238,faed,0x0000
239,faee,0x0000
240,faef,0x0000
241,faf0,0x0000
242,faf1,0x0000
243,faf2,0x0000
244,faf3,0x0000
245,faf4,0x0000
246,faf5,0x0000
247,faf6,0x0000
248,faf7,0x0000
249,faf8,0x0000
250,faf9,0x0000
251,fafa,0x0000
252,fafb,0x0000
253,fafc,0x0000
254,fafd,0x0000
255,fafe,0x0000
