ETC Registers

Sl.no,Register Address,Value
1,e000,0x0000
2,e001,0x0000
3,e002,0x0000
4,e003,0x0000
5,e004,0x0000
6,e005,0x0000
7,e006,0x09c4
8,e007,0xa067
9,e008,0x0400
10,e009,0x1020
11,e00a,0x1040
12,e00b,0x1020
13,e00c,0x4040
14,e00d,0x1040
15,e00e,0x0040
16,e00f,0x0040
17,e010,0x0800
18,e011,0x0000
19,e012,0x0002
20,e013,0x0023
21,e014,0x0000
22,e015,0x0000
23,e016,0x0000
24,e017,0x0000
25,e018,0x0000
26,e019,0x0000
27,e01a,0x0000
28,e01b,0x0000
29,e01c,0x0000
30,e01d,0x0000
31,e01e,0x0000
32,e01f,0x0000
33,e020,0x0000
34,e021,0x0000
35,e022,0x0000
36,e023,0x0000
37,e024,0x0000
38,e025,0x0000
39,e026,0x0000
40,e027,0x0000
41,e028,0x0000
42,e029,0x0000
43,e02a,0x0000
44,e02b,0x0000
45,e02c,0x0000
46,e02d,0x0000
47,e02e,0x0000
48,e02f,0x0000
49,e030,0x0000
50,e031,0x0000
51,e032,0x0000
52,e033,0x0000
53,e034,0x0000
54,e035,0x0000
55,e036,0x0000
56,e037,0x0000
57,e038,0x0000
58,e039,0x0000
59,e03a,0x0000
60,e03b,0x0000
61,e03c,0x0000
62,e03d,0x0000
63,e03e,0x0000
64,e03f,0x0000
65,e040,0x0000
66,e041,0x0000
67,e042,0x0000
68,e043,0x0000
69,e044,0x0000
70,e045,0x0000
71,e046,0x03ff
72,e047,0x0000
73,e048,0x0000
74,e049,0x2100
75,e04a,0x0118
76,e04b,0x03ff
77,e04c,0x03ff
78,e04d,0x03ff
79,e04e,0x03ff
80,e04f,0x03ff
81,e050,0x03ff
82,e051,0x07ff
83,e052,0x07ff
84,e053,0x07ff
85,e054,0x0000
86,e055,0x0000
87,e056,0x0000
88,e057,0x0000
89,e058,0x0000
90,e059,0x0000
91,e05a,0x0000
92,e05b,0x0000
93,e05c,0x0000
94,e05d,0x0000
95,e05e,0x0000
96,e05f,0x0000
97,e060,0x0000
98,e061,0x0000
99,e062,0x0000
100,e063,0x0000
101,e064,0x0000
102,e065,0x0000
103,e066,0x0000
104,e067,0x0000
105,e068,0x0000
106,e069,0x0000
107,e06a,0x0000
108,e06b,0x0000
109,e06c,0x0000
110,e06d,0x0000
111,e06e,0x0000
112,e06f,0x0000
113,e070,0x0000
114,e071,0x0000
115,e072,0x0000
116,e073,0x0000
117,e074,0x0000
118,e075,0x0000
119,e076,0x0000
120,e077,0x0000
121,e078,0x0000
122,e079,0x0000
123,e07a,0x0000
124,e07b,0x0000
125,e07c,0x0000
126,e07d,0x0000
127,e07e,0x0000
128,e07f,0x0000
129,e080,0x0000
130,e081,0x0000
131,e082,0x0000
132,e083,0x0000
133,e084,0x0000
134,e085,0x0000
135,e086,0x0000
136,e087,0x0000
137,e088,0x0000
138,e089,0x0000
139,e08a,0x0000
140,e08b,0x0000
141,e08c,0x0000
142,e08d,0x0000
143,e08e,0x0000
144,e08f,0x0000
145,e090,0x0000
146,e091,0x0000
147,e092,0x0000
148,e093,0x0000
149,e094,0x0000
150,e095,0x0000
151,e096,0x0000
152,e097,0x0000
153,e098,0x0000
154,e099,0x0000
155,e09a,0x0000
156,e09b,0x0000
157,e09c,0x0000
158,e09d,0x0000
159,e09e,0x0000
160,e09f,0x0000
161,e0a0,0x03ff
162,e0a1,0x03ff
163,e0a2,0x03ff
164,e0a3,0x03ff
165,e0a4,0x03ff
166,e0a5,0x03ff
167,e0a6,0x03ff
168,e0a7,0x03ff
169,e0a8,0x03ff
170,e0a9,0x03ff
171,e0aa,0x03ff
172,e0ab,0x03ff
173,e0ac,0x03ff
174,e0ad,0x03ff
175,e0ae,0x03ff
176,e0af,0x03ff
177,e0b0,0x03ff
178,e0b1,0x03ff
179,e0b2,0x03ff
180,e0b3,0x03ff
181,e0b4,0x03ff
182,e0b5,0x03ff
183,e0b6,0x03ff
184,e0b7,0x03ff
185,e0b8,0x03ff
186,e0b9,0x03ff
187,e0ba,0x03ff
188,e0bb,0x03ff
189,e0bc,0x03ff
190,e0bd,0x03ff
191,e0be,0x03ff
192,e0bf,0x03ff
193,e0c0,0x03ff
194,e0c1,0x03ff
195,e0c2,0x03ff
196,e0c3,0x03ff
197,e0c4,0x03ff
198,e0c5,0x03ff
199,e0c6,0x03ff
200,e0c7,0x03ff
201,e0c8,0x03ff
202,e0c9,0x03ff
203,e0ca,0x0000
204,e0cb,0x0000
205,e0cc,0x0000
206,e0cd,0x0000
207,e0ce,0x0000
208,e0cf,0x0000
209,e0d0,0x0000
210,e0d1,0x0000
211,e0d2,0x0000
212,e0d3,0x0000
213,e0d4,0x0000
214,e0d5,0x0000
215,e0d6,0x0000
216,e0d7,0x0000
217,e0d8,0x0000
218,e0d9,0x0000
219,e0da,0x0000
220,e0db,0x0000
221,e0dc,0x0000
222,e0dd,0x0000
223,e0de,0x0000
224,e0df,0x0000
225,e0e0,0x0000
226,e0e1,0x0000
227,e0e2,0x0000
228,e0e3,0x0000
229,e0e4,0x0000
230,e0e5,0x0000
231,e0e6,0x0000
232,e0e7,0x0000
233,e0e8,0x0000
234,e0e9,0x0000
235,e0ea,0x0000
236,e0eb,0x0000
237,e0ec,0x0000
238,e0ed,0x0000
239,e0ee,0x0000
240,e0ef,0x0000
241,e0f0,0x0000
242,e0f1,0x0000
243,e0f2,0x0000
244,e0f3,0x0000
245,e0f4,0x0000
246,e0f5,0x0000
247,e0f6,0x0000
248,e0f7,0x0000
249,e0f8,0x0000
250,e0f9,0x0000
251,e0fa,0x0000
252,e0fb,0x0000
253,e0fc,0x0000
254,e0fd,0x0000
255,e0fe,0x0000
