ETC Registers

Sl.no,Register Address,Value
10754,fa01,0x0000
10755,fa02,0x0000
10756,fa03,0x0000
10757,fa04,0x0000
10758,fa05,0x0000
10759,fa06,0x0000
10760,fa07,0x0000
10761,fa08,0x0000
10762,fa09,0x0000
10763,fa0a,0x0000
10764,fa0b,0x0000
10765,fa0c,0x0000
10766,fa0d,0x0000
10767,fa0e,0x0000
10768,fa0f,0x0000
10769,fa10,0x1713
10770,fa11,0x1003
10771,fa12,0x0000
10772,fa13,0x0000
10773,fa14,0x0000
10774,fa15,0x0000
10775,fa16,0x0000
10776,fa17,0x0000
10777,fa18,0x0000
10778,fa19,0x0000
10779,fa1a,0x0000
10780,fa1b,0x0000
10781,fa1c,0x0000
10782,fa1d,0x0000
10783,fa1e,0x0000
10784,fa1f,0x0000
10785,fa20,0x0000
10786,fa21,0x0000
10787,fa22,0x0000
10788,fa23,0x0000
10789,fa24,0x0000
10790,fa25,0x0000
10791,fa26,0x0000
10792,fa27,0x0000
10793,fa28,0x0000
10794,fa29,0x0000
10795,fa2a,0x0000
10796,fa2b,0x0000
10797,fa2c,0x0000
10798,fa2d,0x0000
10799,fa2e,0x0000
10800,fa2f,0x0000
10801,fa30,0x0000
10802,fa31,0x0000
10803,fa32,0x0000
10804,fa33,0x0000
10805,fa34,0x0000
10806,fa35,0x0000
10807,fa36,0x0000
10808,fa37,0x0000
10809,fa38,0x0000
10810,fa39,0x0000
10811,fa3a,0x0000
10812,fa3b,0x0000
10813,fa3c,0x0000
10814,fa3d,0x1506
10815,fa3e,0x1712
10816,fa3f,0x1427
10817,fa40,0x0608
10818,fa41,0x2401
10819,fa42,0x2006
10820,fa43,0x0000
10821,fa44,0x0001
10822,fa45,0x3601
10823,fa46,0x0000
10824,fa47,0x0000
10825,fa48,0x0000
10826,fa49,0x0000
10827,fa4a,0x0000
10828,fa4b,0x0000
10829,fa4c,0x0000
10830,fa4d,0x0000
10831,fa4e,0x0000
10832,fa4f,0x0000
10833,fa50,0x0000
10834,fa51,0x0000
